stabilized_videos_dataset
Device name;Video name;Resolution;Rotation (Degree)
D02;D02_V_flat_move_0001.mov;1920 x 1080;180
D02;D02_V_flat_move_0002.mov;1920 x 1080;0
D02;D02_V_flat_panrot_0001.mov;1920 x 1080;180
D02;D02_V_flat_still_0001.mov;1920 x 1080;0
D02;D02_V_indoor_move_0001.mov;1920 x 1080;0
D02;D02_V_indoor_panrot_0001.mov;1920 x 1080;180
D02;D02_V_indoor_still_0001.mov;1920 x 1080;180
D02;D02_V_outdoor_move_0001.mov;1920 x 1080;0
D02;D02_V_outdoor_panrot_0001.mov;1920 x 1080;180
D02;D02_V_outdoor_panrot_0002.mov;1920 x 1080;180
D02;D02_V_outdoor_still_0001.mov;1920 x 1080;180
D02;D02_V_outdoor_still_0002.mov;1920 x 1080;180
D05;D05_V_flat_move_0001.mov;1920 x 1080;0
D05;D05_V_flat_move_0002.mov;1920 x 1080;0
D05;D05_V_flat_panrot_0001.mov;1920 x 1080;0
D05;D05_V_flat_panrot_0002.mov;1920 x 1080;0
D05;D05_V_flat_still_0001.mov;1920 x 1080;0
D05;D05_V_flat_still_0002.mov;1920 x 1080;0
D05;D05_V_indoor_move_0001.mov;1920 x 1080;0
D05;D05_V_indoor_move_0002.mov;1920 x 1080;0
D05;D05_V_indoor_panrot_0001.mov;1920 x 1080;180
D05;D05_V_indoor_panrot_0002.mov;1920 x 1080;0
D05;D05_V_indoor_still_0001.mov;1920 x 1080;180
D05;D05_V_indoor_still_0002.mov;1920 x 1080;0
D05;D05_V_outdoor_move_0001.mov;1920 x 1080;180
D05;D05_V_outdoor_move_0002.mov;1920 x 1080;180
D05;D05_V_outdoor_panrot_0001.mov;1920 x 1080;180
D05;D05_V_outdoor_panrot_0002.mov;1920 x 1080;180
D05;D05_V_outdoor_still_0001.mov;1920 x 1080;180
D05;D05_V_outdoor_still_0002.mov;1920 x 1080;0
D06;D06_V_flat_move_0001.mov;1920 x 1080;90
D06;D06_V_flat_move_0002.mov;1920 x 1080;0
D06;D06_V_flat_panrot_0001.mov;1920 x 1080;0
D06;D06_V_flat_panrot_0002.mov;1920 x 1080;0
D06;D06_V_flat_still_0001.mov;1920 x 1080;0
D06;D06_V_indoor_move_0001.mov;1920 x 1080;90
D06;D06_V_indoor_move_0002.mov;1920 x 1080;0
D06;D06_V_indoor_panrot_0001.mov;1920 x 1080;0
D06;D06_V_indoor_panrot_0002.mov;1920 x 1080;0
D06;D06_V_indoor_still_0001.mov;1920 x 1080;0
D06;D06_V_indoor_still_0002.mov;1920 x 1080;0
D06;D06_V_outdoor_move_0001.mov;1920 x 1080;0
D06;D06_V_outdoor_move_0002.mov;1920 x 1080;0
D06;D06_V_outdoor_panrot_0001.mov;1920 x 1080;0
D06;D06_V_outdoor_panrot_0002.mov;1920 x 1080;0
D06;D06_V_outdoor_still_0001.mov;1920 x 1080;0
D06;D06_V_outdoor_still_0002.mov;1920 x 1080;0
D10;D10_V_flat_move_0001.mov;1920 x 1080;0
D10;D10_V_flat_move_0002.mov;1920 x 1080;0
D10;D10_V_flat_panrot_0001.mov;1920 x 1080;0
D10;D10_V_flat_still_0001.mov;1920 x 1080;0
D10;D10_V_indoor_move_0001.mov;1920 x 1080;0
D10;D10_V_indoor_move_0002.mov;1920 x 1080;0
D10;D10_V_indoor_panrot_0001.mov;1920 x 1080;0
D10;D10_V_indoor_panrot_0002.mov;1920 x 1080;0
D10;D10_V_indoor_still_0001.mov;1920 x 1080;0
D10;D10_V_indoor_still_0002.mov;1920 x 1080;0
D10;D10_V_outdoor_move_0001.mov;1920 x 1080;0
D10;D10_V_outdoor_panrot_0001.mov;1920 x 1080;0
D10;D10_V_outdoor_panrot_0002.mov;1920 x 1080;0
D10;D10_V_outdoor_still_0001.mov;1920 x 1080;0
D10;D10_V_outdoor_still_0002.mov;1920 x 1080;0
D12;D12_V_flat_move_0001.mp4;1920 x 1080;0
D12;D12_V_flat_move_0002.mp4;1920 x 1080;0
D12;D12_V_flat_panrot_0001.mp4;1920 x 1080;0
D12;D12_V_flat_panrot_0002.mp4;1920 x 1080;0
D12;D12_V_flat_still_0001.mp4;1920 x 1080;0
D12;D12_V_flat_still_0002.mp4;1920 x 1080;0
D12;D12_V_indoor_move_0001.mp4;1920 x 1080;0
D12;D12_V_indoor_move_0002.mp4;1920 x 1080;0
D12;D12_V_indoor_panrot_0001.mp4;1920 x 1080;0
D12;D12_V_indoor_panrot_0002.mp4;1920 x 1080;0
D12;D12_V_indoor_still_0001.mp4;1920 x 1080;0
D12;D12_V_indoor_still_0002.mp4;1920 x 1080;0
D12;D12_V_outdoor_move_0001.mp4;1920 x 1080;0
D12;D12_V_outdoor_move_0002.mp4;1920 x 1080;0
D12;D12_V_outdoor_panrot_0001.mp4;1920 x 1080;0
D12;D12_V_outdoor_panrot_0002.mp4;1920 x 1080;0
D12;D12_V_outdoor_still_0001.mp4;1920 x 1080;0
D12;D12_V_outdoor_still_0002.mp4;1920 x 1080;0
D14;D14_V_flat_move_0001.mov;1920 x 1080;0
D14;D14_V_flat_move_0002.mov;1920 x 1080;0
D14;D14_V_flat_panrot_0001.mov;1920 x 1080;0
D14;D14_V_flat_panrot_0002.mov;1920 x 1080;0
D14;D14_V_flat_still_0001.mov;1920 x 1080;0
D14;D14_V_flat_still_0002.mov;1920 x 1080;0
D14;D14_V_indoor_move_0001.mov;1920 x 1080;0
D14;D14_V_indoor_move_0002.mov;1920 x 1080;0
D14;D14_V_indoor_panrot_0001.mov;1920 x 1080;0
D14;D14_V_indoor_panrot_0002.mov;1920 x 1080;0
D14;D14_V_indoor_still_0001.mov;1920 x 1080;0
D14;D14_V_indoor_still_0002.mov;1920 x 1080;0
D14;D14_V_outdoor_move_0001.mov;1920 x 1080;0
D14;D14_V_outdoor_move_0002.mov;1920 x 1080;0
D14;D14_V_outdoor_panrot_0001.mov;1920 x 1080;0
D14;D14_V_outdoor_panrot_0002.mov;1920 x 1080;0
D14;D14_V_outdoor_still_0001.mov;1920 x 1080;0
D14;D14_V_outdoor_still_0002.mov;1920 x 1080;0
D15;D15_V_flat_move_0001.mov;1920 x 1080;0
